(A1) CITY;(A2) PROVINCE;(B3) GENDER;(B4) AGE;(B5) RELIGION;(B6) ETHNIC;(B7) EDUCATION LEVEL;(B8) LIVED IN URBAN AREA (YEARS);(B9) OCCUPATION;(B10) SOCIAL CLAS;(B11) HOUSEHOLD MEMBER;(C12) HOUSEHOLD INCOME (MONTHLY IN MILLION IDR);(C13) TIME OF INCOME RECEIPT;(C14) HOUSEHOLD EXPENDITURE (MONTHLY IN MILLION IDR);(C15) % MONTHLY EXPENDITURE FOR FOOD;(D16) HEALTH FACTOR;(D17) PRICE FACTOR);(E18) RELIGIOUS VALUE IN TYPE OF FOOD;(E19) RELIGIOUS VALUE IN EATING PLACES;(E20) RELIGIOUS VALUE IN CONSUMPTION PATTERN;(E21) CUSTOM VALUE IN TYPE OF FOOD;(E22) CUSTOM VALUE IN EATING PLACES;(E23) CUSTOM VALUE IN CONSUMPTION PATTERN;(24) PRACTICE OF FOOD CONSUMPTION BASED ON RELIGIOUS RULES;(25) PRACTICE OF FOOD CONSUMPTION BASED ON CUSTOM RULES;(E26) BUYING FOOD PRODUCT IN THE RIGHT PLACE BASED ON RELIGIOUS RULES;(E27 TYPE OF DISHES VARIATION BASED ON RELIGIOUS RULES;(E28) PRACTICE OF CONSUMING TRADITIONAL FOOD;
Jakarta;DKI Jakarta;Female;31;Islam;Java;Senior High School;31;Private Employees;Lower Class;5;3:08;Daily;3:02;57;Disagree;Agree;Strongly Agree;Neither agree nor disagree;Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Agree;Agree;
Jakarta;DKI Jakarta;Female;36;Islam;Java;Bachelor degree;32;Private Employees;Lower Class;6;4:02;Weekly;4:01;43;Neither agree nor disagree;Strongly Agree;Strongly Agree;Agree;Agree;Strongly Agree;Agree;Agree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;
Jakarta;DKI Jakarta;Male;24;Islam;Java;Senior High School;24;Private Employees;Middle Class;5;5:08;Weekly;5:05;38;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Agree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Female;63;Islam;Other;Senior High School;32;Private Employees;Lower Class;5;3:01;Daily;2:08;61;Neither agree nor disagree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Agree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Agree;
Jakarta;DKI Jakarta;Male;43;Protestant;Batak;Primary School;43;Government Employees;Lower Class;6;3:04;Daily;3:01;58;Strongly Disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Agree;Disagree;Agree;Agree;
Jakarta;DKI Jakarta;Female;47;Protestant;Java;Senior High School;47;Government Employees;Lower Class;6;4:01;Weekly;5:03;34;Disagree;Strongly Agree;Agree;Strongly Agree;Agree;Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Disagree;Disagree;Strongly Agree;Agree;
Jakarta;DKI Jakarta;Female;28;Catholic;Java;Senior High School;28;Enterpreneur;Upper Class;7;13:00;Monthly;11:08;26;Agree;Disagree;Strongly Agree;Strongly Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Agree;Disagree;Agree;Agree;
Jakarta;DKI Jakarta;Female;48;Islam;Java;Senior High School;31;Enterpreneur;Lower Class;6;3:02;Daily;2:06;57;Disagree;Agree;Strongly Agree;Neither agree nor disagree;Agree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Agree;
Jakarta;DKI Jakarta;Female;36;Islam;Java;Senior High School;36;Enterpreneur;Upper Class;6;10:03;Monthly;10:00;24;Neither agree nor disagree;Disagree;Strongly Agree;Agree;Agree;Neither agree nor disagree;Disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Agree;
Jakarta;DKI Jakarta;Female;39;Protestant;Other;Bachelor degree;19;Private Employees;Upper Class;7;14:02;Monthly;13:09;27;Strongly Agree;Disagree;Agree;Neither agree nor disagree;Agree;Agree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Agree;Strongly Agree;Agree;
Jakarta;DKI Jakarta;Male;53;Catholic;Batak;Master and doctoral degree;12;Private Employees;Lower Class;8;3:04;Daily;3:01;67;Disagree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;
Jakarta;DKI Jakarta;Male;57;Islam;Java;Primary School;22;Private Employees;Middle Class;7;4:01;Weekly;4:04;36;Neither agree nor disagree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;
Jakarta;DKI Jakarta;Female;46;Islam;Java;Bachelor degree;22;Private Employees;Lower Class;7;5:08;Weekly;5:04;42;Disagree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Agree;Agree;Agree;Strongly Agree;
Jakarta;DKI Jakarta;Female;53;Islam;Java;Bachelor degree;22;Private Employees;Lower Class;7;2:03;Daily;1:09;73;Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Strongly Agree;
Jakarta;DKI Jakarta;Male;58;Islam;Java;Bachelor degree;28;Private Employees;Middle Class;7;4:02;Weekly;4:05;41;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Agree;Agree;Agree;Agree;Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Agree;
Jakarta;DKI Jakarta;Female;62;Catholic;Java;Senior High School;11;Private Employees;Middle Class;5;5:09;Weekly;4:05;33;Agree;Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Agree;Neither agree nor disagree;Agree;Strongly Agree;
Jakarta;DKI Jakarta;Male;41;Islam;Bugis;Bachelor degree;25;Teacher?/Lecturer;Upper Class;6;11:04;Monthly;11:00;19;Strongly Agree;Strongly Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;
Jakarta;DKI Jakarta;Male;61;Islam;Java;Primary School;34;Teacher?/Lecturer;Lower Class;6;3:00;Daily;2:06;69;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Agree;Neither agree nor disagree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;
Jakarta;DKI Jakarta;Female;23;Islam;Java;Bachelor degree;23;Government Employees;Upper Class;6;15:07;Monthly;15:03;23;Strongly Agree;Strongly Disagree;Strongly Agree;Strongly Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;
Jakarta;DKI Jakarta;Female;27;Protestant;Batak;Senior High School;27;Government Employees;Upper Class;6;13:02;Monthly;12:08;25;Strongly Agree;Strongly Disagree;Agree;Strongly Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;
Jakarta;DKI Jakarta;Female;38;Protestant;Batak;Master and doctoral degree;12;Government Employees;Lower Class;6;3:04;Daily;3:01;57;Disagree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Agree;Disagree;Disagree;
Jakarta;DKI Jakarta;Female;24;Protestant;Java;Bachelor degree;24;Government Employees;Upper Class;7;6:08;Weekly;6:05;43;Agree;Strongly Disagree;Agree;Strongly Agree;Agree;Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Female;33;Islam;Batak;Senior High School;32;Government Employees;Lower Class;5;4:08;Weekly;4:05;38;Neither agree nor disagree;Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Agree;Agree;Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;
Jakarta;DKI Jakarta;Female;27;Islam;Other;Master and doctoral degree;27;Police Officer?/Army;Lower Class;6;2:09;Daily;2:06;61;Disagree;Strongly Agree;Strongly Agree;Agree;Agree;Strongly Agree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Agree;
Jakarta;DKI Jakarta;Female;54;Islam;Other;Senior High School;24;Police Officer?/Army;Lower Class;5;3:05;Daily;3:02;58;Strongly Disagree;Agree;Strongly Agree;Agree;Agree;Strongly Agree;Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Female;30;Protestant;Java;Senior High School;30;Private Employees;Middle Class;5;5:07;Weekly;5:04;34;Disagree;Strongly Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Agree;Disagree;Neither agree nor disagree;Disagree;Disagree;
Jakarta;DKI Jakarta;Female;61;Catholic;Sunda;Bachelor degree;31;Private Employees;Upper Class;6;11:03;Monthly;11:00;26;Strongly Agree;Strongly Disagree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Male;24;Islam;Java;Bachelor degree;24;Government Employees;Lower Class;6;2:07;Daily;2:03;57;Disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Neither agree nor disagree;Agree;Agree;
Jakarta;DKI Jakarta;Male;33;Islam;Java;Bachelor degree;33;Police Officer?/Army;Upper Class;7;10:01;Monthly;9:07;24;Strongly Agree;Strongly Disagree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Female;31;Protestant;Java;Diploma;31;Private Employees;Upper Class;6;12:05;Monthly;12:01;27;Agree;Disagree;Agree;Strongly Agree;Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Neither agree nor disagree;Agree;Agree;
Jakarta;DKI Jakarta;Male;25;Protestant;Java;Diploma;25;Private Employees;Lower Class;6;3:02;Daily;2:08;67;Neither agree nor disagree;Disagree;Strongly Agree;Neither agree nor disagree;Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Female;34;Islam;Java;Bachelor degree;24;Private Employees;Middle Class;7;6:02;Weekly;5:08;36;Neither agree nor disagree;Disagree;Agree;Agree;Neither agree nor disagree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Male;28;Islam;Java;Master and doctoral degree;22;Enterpreneur;Upper Class;8;6:04;Weekly;6:00;42;Strongly Agree;Strongly Disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Male;35;Islam;Java;Bachelor degree;15;Enterpreneur;Lower Class;7;3:07;Daily;3:03;73;Neither agree nor disagree;Agree;Agree;Strongly Agree;Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;
Jakarta;DKI Jakarta;Male;63;Islam;Java;Bachelor degree;32;Enterpreneur;Middle Class;7;5:09;Weekly;5:05;41;Strongly Agree;Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Agree;Agree;Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;
Jakarta;DKI Jakarta;Female;41;Islam;Sunda;Bachelor degree;21;Enterpreneur;Middle Class;7;6:07;Weekly;6:03;33;Strongly Agree;Agree;Agree;Strongly Agree;Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;
Jakarta;DKI Jakarta;Female;30;Islam;Java;Bachelor degree;30;Government Employees;Upper Class;7;10:09;Monthly;10:05;19;Agree;Neither agree nor disagree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Agree;
Jakarta;DKI Jakarta;Female;27;Catholic;Batak;Senior High School;27;Government Employees;Lower Class;5;3:09;Daily;3:05;69;Disagree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Female;32;Catholic;Batak;Diploma;22;Government Employees;Upper Class;6;9:08;Monthly;9:04;23;Disagree;Disagree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Agree;Agree;Agree;Disagree;Neither agree nor disagree;Disagree;Disagree;
Jakarta;DKI Jakarta;Female;29;Islam;Java;Bachelor degree;29;Government Employees;Upper Class;6;9:06;Monthly;9:02;25;Agree;Strongly Disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Male;31;Islam;Java;Bachelor degree;31;Government Employees;Lower Class;6;3:06;Daily;3:02;58;Disagree;Strongly Agree;Agree;Agree;Agree;Strongly Agree;Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Female;27;Islam;Sunda;Bachelor degree;27;Private Employees;Middle Class;6;5:07;Weekly;5:03;44;Disagree;Disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Disagree;Neither agree nor disagree;Disagree;Disagree;
Jakarta;DKI Jakarta;Female;37;Islam;Java;Bachelor degree;37;Private Employees;Middle Class;6;6:04;Weekly;6:00;35;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Male;36;Islam;Java;Senior High School;16;Private Employees;Lower Class;5;3:04;Daily;3:00;59;Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Disagree;Neither agree nor disagree;Disagree;Disagree;
Jakarta;DKI Jakarta;Male;38;Islam;Java;Diploma;18;Private Employees;Lower Class;6;2:09;Daily;2:05;65;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Neither agree nor disagree;Agree;Agree;Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;
Jakarta;DKI Jakarta;Female;63;Protestant;Bugis;Senior High School;23;Enterpreneur;Middle Class;5;5:06;Weekly;5:02;41;Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Disagree;Neither agree nor disagree;Disagree;Disagree;
Jakarta;DKI Jakarta;Male;40;Protestant;Other;Senior High School;20;Enterpreneur;Upper Class;5;11:02;Monthly;10:08;26;Agree;Neither agree nor disagree;Agree;Strongly Agree;Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Male;30;Islam;Java;Bachelor degree;30;Enterpreneur;Lower Class;6;3:07;Daily;3:03;76;Neither agree nor disagree;Agree;Strongly Agree;Agree;Strongly Agree;Disagree;Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Male;33;Islam;Java;Master and doctoral degree;33;Enterpreneur;Upper Class;6;10:06;Monthly;10:02;22;Strongly Agree;Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Female;29;Islam;Java;Bachelor degree;29;Enterpreneur;Upper Class;7;11:02;Monthly;11:01;18;Agree;Disagree;Strongly Agree;Agree;Strongly Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;
Jakarta;DKI Jakarta;Female;27;Islam;Java;Master and doctoral degree;27;Enterpreneur;Lower Class;6;3:08;Daily;3:07;57;Disagree;Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Disagree;Strongly Agree;Disagree;Disagree;
Jakarta;DKI Jakarta;Female;31;Islam;Java;Diploma;31;Government Employees;Middle Class;6;6:02;Weekly;6:01;43;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Agree;
Jakarta;DKI Jakarta;Female;24;Islam;Sunda;Bachelor degree;24;Government Employees;Middle Class;7;5:08;Weekly;5:07;38;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Female;40;Catholic;Java;Master and doctoral degree;40;Government Employees;Lower Class;8;3:01;Daily;3:00;61;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Agree;Strongly Agree;Neither agree nor disagree;Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Female;65;Catholic;Other;Bachelor degree;25;Government Employees;Middle Class;7;3:04;Weekly;3:03;58;Strongly Agree;Neither agree nor disagree;Strongly Agree;Agree;Strongly Agree;Agree;Agree;Agree;Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;
Jakarta;DKI Jakarta;Female;31;Protestant;Java;Bachelor degree;21;Government Employees;Middle Class;7;5:06;Weekly;5:05;34;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Female;25;Protestant;Other;Bachelor degree;25;Government Employees;Upper Class;7;12:01;Monthly;12:00;26;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Male;41;Islam;Java;Bachelor degree;21;Government Employees;Lower Class;7;2:09;Daily;2:08;57;Neither agree nor disagree;Agree;Agree;Strongly Agree;Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Neither agree nor disagree;Agree;Agree;
Jakarta;DKI Jakarta;Female;65;Islam;Java;Senior High School;27;Enterpreneur;Upper Class;5;10:03;Monthly;10:02;24;Strongly Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Female;38;Islam;Java;Diploma;18;Enterpreneur;Upper Class;6;14:02;Monthly;14:01;27;Strongly Agree;Neither agree nor disagree;Agree;Strongly Agree;Agree;Agree;Agree;Agree;Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;
Jakarta;DKI Jakarta;Male;47;Islam;Java;Diploma;27;Enterpreneur;Lower Class;6;3:04;Daily;3:03;67;Disagree;Neither agree nor disagree;Agree;Strongly Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Agree;
Jakarta;DKI Jakarta;Female;28;Islam;Java;Bachelor degree;28;Enterpreneur;Middle Class;6;6:07;Weekly;6:06;36;Neither agree nor disagree;Neither agree nor disagree;Agree;Strongly Agree;Agree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Male;48;Islam;Sunda;Master and doctoral degree;38;Enterpreneur;Middle Class;6;5:08;Weekly;5:07;42;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Male;27;Islam;Java;Bachelor degree;27;Enterpreneur;Lower Class;6;2:03;Daily;2:02;73;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Disagree;Disagree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Male;39;Islam;Java;Bachelor degree;39;Independent Worker;Lower Class;7;4:09;Daily;4:08;41;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Female;53;Islam;Bugis;Diploma;21;Independent Worker;Middle Class;6;5:09;Weekly;5:08;33;Disagree;Disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Agree;Disagree;Neither agree nor disagree;Disagree;Disagree;
Jakarta;DKI Jakarta;Female;57;Islam;Java;Diploma;24;Independent Worker;Upper Class;6;11:04;Monthly;11:03;19;Agree;Neither agree nor disagree;Agree;Strongly Agree;Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Female;46;Islam;Java;Diploma;46;Independent Worker;Lower Class;6;3:00;Daily;2:09;69;Disagree;Disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Disagree;Disagree;
Jakarta;DKI Jakarta;Female;53;Islam;Java;Master and doctoral degree;27;Independent Worker;Upper Class;6;15:07;Monthly;15:06;23;Strongly Agree;Neither agree nor disagree;Agree;Strongly Agree;Agree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Female;58;Islam;Java;Senior High School;29;Independent Worker;Upper Class;5;13:02;Monthly;13:01;25;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Male;23;Islam;Madura;Master and doctoral degree;23;Private Employees;Lower Class;6;3:04;Daily;3:01;57;Neither agree nor disagree;Neither agree nor disagree;Disagree;Strongly Agree;Disagree;Disagree;Agree;Agree;Agree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Male;46;Protestant;Other;Senior High School;46;Private Employees;Middle Class;5;6:08;Weekly;6:05;43;Agree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Agree;
Jakarta;DKI Jakarta;Female;34;Protestant;Other;Senior High School;34;Private Employees;Middle Class;5;4:08;Weekly;4:05;38;Disagree;Disagree;Agree;Strongly Agree;Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Disagree;Agree;Disagree;Disagree;
Jakarta;DKI Jakarta;Female;30;Protestant;Sunda;Bachelor degree;30;Private Employees;Lower Class;6;2:09;Daily;2:06;61;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Agree;Agree;Agree;Agree;Strongly Agree;Agree;Agree;
Jakarta;DKI Jakarta;Female;26;Islam;Java;Bachelor degree;26;Government Employees;Middle Class;6;3:05;Weekly;3:02;58;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Female;43;Islam;Java;Bachelor degree;43;Government Employees;Middle Class;7;5:07;Weekly;5:04;34;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Male;55;Protestant;Java;Bachelor degree;31;Enterpreneur;Upper Class;6;11:03;Monthly;11:00;26;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;
Jakarta;DKI Jakarta;Male;37;Islam;Madura;Master and doctoral degree;27;Enterpreneur;Lower Class;6;2:07;Daily;2:04;57;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Male;30;Islam;Java;Bachelor degree;30;Enterpreneur;Upper Class;7;10:01;Monthly;9:08;24;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Female;35;Catholic;Java;Master and doctoral degree;23;Private Employees;Upper Class;8;12:05;Monthly;12:02;27;Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Neither agree nor disagree;Agree;Agree;
