(A1) CITY;(A2) PROVINCE;(B3) GENDER;(B4) AGE;(B5) RELIGION;(B6) ETHNIC;(B7) EDUCATION LEVEL;(B8) LIVED IN URBAN AREA (YEARS);(B9) OCCUPATION;(B10) SOCIAL CLAS;(B11) HOUSEHOLD MEMBER;(C12) HOUSEHOLD INCOME (MONTHLY IN MILLION IDR);(C13) TIME OF INCOME RECEIPT;(C14) HOUSEHOLD EXPENDITURE (MONTHLY IN MILLION IDR);(C15) % MONTHLY EXPENDITURE FOR FOOD;(D16) HEALTH FACTOR;(D17) PRICE FACTOR);(E18) RELIGIOUS VALUE IN TYPE OF FOOD;(E19) RELIGIOUS VALUE IN EATING PLACES;(E20) RELIGIOUS VALUE IN CONSUMPTION PATTERN;(E21) CUSTOM VALUE IN TYPE OF FOOD;(E22) CUSTOM VALUE IN EATING PLACES;(E23) CUSTOM VALUE IN CONSUMPTION PATTERN;(24) PRACTICE OF FOOD CONSUMPTION BASED ON RELIGIOUS RULES;(25) PRACTICE OF FOOD CONSUMPTION BASED ON CUSTOM RULES;(E26) BUYING FOOD PRODUCT IN THE RIGHT PLACE BASED ON RELIGIOUS RULES;(E27 TYPE OF DISHES VARIATION BASED ON RELIGIOUS RULES;(E28) PRACTICE OF CONSUMING TRADITIONAL FOOD;
Denpasar;Bali;Female;33;Islam;Sunda;Bachelor degree;33;Private Employees;Middle Class;6;13:02;Weekly;12:08;25;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Female;29;Hindu;Bali;Bachelor degree;29;Private Employees;Middle Class;6;3:04;Weekly;3:00;58;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Female;33;Hindu;Bali;Senior High School;33;Private Employees;Upper Class;6;6:08;Monthly;6:04;44;Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Female;35;Islam;Java;Senior High School;35;Enterpreneur;Lower Class;6;4:08;Daily;4:04;35;Disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Male;24;Islam;Java;Senior High School;24;Enterpreneur;Lower Class;5;2:09;Daily;2:05;59;Disagree;Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Disagree;Neither agree nor disagree;Disagree;Disagree;
Denpasar;Bali;Male;28;Hindu;Bali;Senior High School;28;Enterpreneur;Middle Class;6;3:05;Weekly;3:01;65;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Male;35;Hindu;Bali;Senior High School;35;Enterpreneur;Middle Class;5;5:07;Weekly;5:03;41;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Agree;Agree;Agree;Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;
Denpasar;Bali;Male;42;Protestant;Java;Senior High School;42;Government Employees;Upper Class;5;11:03;Monthly;10:09;26;Strongly Agree;Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Agree;Agree;
Denpasar;Bali;Female;25;Catholic;Java;Primary School;25;Government Employees;Upper Class;6;2:07;Monthly;2:03;76;Strongly Agree;Neither agree nor disagree;Strongly Agree;Agree;Strongly Agree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Male;43;Islam;Java;Junior High School;13;Government Employees;Upper Class;6;10:01;Monthly;9:07;22;Strongly Agree;Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Disagree;Agree;Disagree;Disagree;
